Nr	Species	Dataset	Organ	n_reps	type	Technology	SCAP_filename
1	Mouse	Tabula_Muris	Bladder	3	droplet	10x_v2	Mouse.Tabula_Muris.Bladder.10x_droplet.scpred_model.rds
2	Mouse	Tabula_Muris	Heart	1	droplet	10x_v2	Mouse.Tabula_Muris.Heart.10x_droplet.scpred_model.rds
3	Mouse	Tabula_Muris	Kidney	3	droplet	10x_v2	Mouse.Tabula_Muris.Kidney.10x_droplet.scpred_model.rds
4	Mouse	Tabula_Muris	Liver	3	droplet	10x_v2	Mouse.Tabula_Muris.Liver.10x_droplet.scpred_model.rds
5	Mouse	Tabula_Muris	Lung	4	droplet	10x_v2	Mouse.Tabula_Muris.Lung.10x_droplet.scpred_model.rds
6	Mouse	Tabula_Muris	Mammary	2	droplet	10x_v2	Mouse.Tabula_Muris.Mammary.10x_droplet.scpred_model.rds
7	Mouse	Tabula_Muris	Marrow	2	droplet	10x_v2	Mouse.Tabula_Muris.Marrow.10x_droplet.scpred_model.rds
8	Mouse	Tabula_Muris	Muscle	2	droplet	10x_v2	Mouse.Tabula_Muris.Muscle.10x_droplet.scpred_model.rds
9	Mouse	Tabula_Muris	Spleen	2	droplet	10x_v2	Mouse.Tabula_Muris.Spleen.10x_droplet.scpred_model.rds
10	Mouse	Tabula_Muris	Thymus	1	droplet	10x_v2	Mouse.Tabula_Muris.Thymus.10x_droplet.scpred_model.rds
11	Mouse	Tabula_Muris	Tongue	2	droplet	10x_v2	Mouse.Tabula_Muris.Tongue.10x_droplet.scpred_model.rds
12	Mouse	Tabula_Muris	Trachea	2	droplet	10x_v2	Mouse.Tabula_Muris.Trachea.10x_droplet.scpred_model.rds
13	Mouse	Tabula_Muris	Aorta	1	FACS	SMART_seq2	Mouse.Tabula_Muris.Aorta.FACS.scpred_model.rds
14	Mouse	Tabula_Muris	Bladder	1	FACS	SMART_seq2	Mouse.Tabula_Muris.Bladder.FACS.scpred_model.rds
15	Mouse	Tabula_Muris	Brain_Microglia	1	FACS	SMART_seq2	Mouse.Tabula_Muris.Brain_Microglia.FACS.scpred_model.rds
16	Mouse	Tabula_Muris	Brain_Neurons	1	FACS	SMART_seq2	Mouse.Tabula_Muris.Brain_Neurons.FACS.scpred_model.rds
17	Mouse	Tabula_Muris	Colon	1	FACS	SMART_seq2	Mouse.Tabula_Muris.Colon.FACS.scpred_model.rds
18	Mouse	Tabula_Muris	Fat	1	FACS	SMART_seq2	Mouse.Tabula_Muris.Fat.FACS.scpred_model.rds
19	Mouse	Tabula_Muris	Heart	1	FACS	SMART_seq2	Mouse.Tabula_Muris.Heart.FACS.scpred_model.rds
20	Mouse	Tabula_Muris	Kidney	1	FACS	SMART_seq2	Mouse.Tabula_Muris.Kidney.FACS.scpred_model.rds
21	Mouse	Tabula_Muris	Liver	1	FACS	SMART_seq2	Mouse.Tabula_Muris.Liver.FACS.scpred_model.rds
22	Mouse	Tabula_Muris	Lung	1	FACS	SMART_seq2	Mouse.Tabula_Muris.Lung.FACS.scpred_model.rds